SalesDate,Volume,AvgTemperature,BrandPriceSegment,Cloc,TouristicPotential,MalePopulationPercentage,AvgIncome,DayOfWeek,IsInSeason,IsLegalHoliday,Trimester
2019-08-08,92.10979999999998,23.09999999999996,,,35848.0,49.796440000000054,2462.0,5,True,False,3
2019-08-09,138.20499999999996,22.0,,,35848.0,49.79644000000006,2462.0,6,True,False,3
2019-08-10,90.41099999999997,21.90000000000003,,,35848.0,49.796440000000054,2462.0,7,True,False,3
2019-08-12,84.523,25.799999999999976,,,35848.0,49.79644000000004,2462.0,2,True,False,3
2019-08-13,211.59220000000008,26.0,,,35848.0,49.796440000000054,2462.0,3,True,False,3
2019-08-14,146.76719999999995,23.599999999999948,,,35848.0,49.79644000000006,2462.0,4,True,False,3
2019-08-15,232.02020000000005,17.5,,,35848.0,49.79644000000006,2462.0,5,True,True,3
2019-08-16,151.7492000000001,18.09999999999996,,,35848.0,49.79644000000006,2462.0,6,True,False,3
2019-08-17,120.95859999999993,17.799999999999976,,,35848.0,49.796440000000054,2462.0,7,True,False,3
2019-08-19,92.08520000000001,21.600000000000016,,,35848.0,49.79644000000003,2462.0,2,True,False,3
2019-08-20,125.0052,23.400000000000045,,,35848.0,49.796440000000054,2462.0,3,True,False,3
2019-08-21,198.3654,24.300000000000026,,,35848.0,49.79644000000006,2462.0,4,True,False,3
2019-08-22,128.7054,25.199999999999967,,,35848.0,49.79644000000006,2462.0,5,True,False,3
2019-08-23,190.5072000000001,23.199999999999957,,,35848.0,49.79644000000006,2462.0,6,True,False,3
2019-08-24,165.4491999999999,23.599999999999955,,,35848.0,49.796440000000054,2462.0,7,True,False,3
2019-08-26,169.25880000000004,22.899999999999984,,,35848.0,49.79644000000003,2462.0,2,True,False,3
2019-08-27,145.62499999999997,22.90000000000005,,,35848.0,49.79644000000006,2462.0,3,True,False,3
2019-08-28,101.76459999999999,23.099999999999962,,,35848.0,49.796440000000054,2462.0,4,True,False,3
2019-08-29,167.08280000000002,21.59999999999995,,,35848.0,49.79644000000006,2462.0,5,True,False,3
2019-08-30,148.40939999999998,22.5,,,35848.0,49.79644000000006,2462.0,6,True,False,3
2019-08-31,84.2976,22.09999999999997,,,35848.0,49.796440000000054,2462.0,7,True,False,3
2019-09-02,49.973000000000006,21.5,,,24990.0,49.79644000000003,2501.0,2,False,False,3
2019-09-03,177.2986,21.40000000000004,,,24990.0,49.796440000000054,2501.0,3,False,False,3
2019-09-04,147.092,17.400000000000034,,,24990.0,49.79644000000006,2501.0,4,False,False,3
2019-09-05,119.6186,17.599999999999962,,,24990.0,49.79644000000006,2501.0,5,False,False,3
2019-09-06,109.12639999999999,18.5,,,24990.0,49.79644000000006,2501.0,6,False,False,3
2019-09-07,73.21160000000002,19.599999999999994,,,24990.0,49.79644000000005,2501.0,7,False,False,3
2019-09-09,60.85519999999998,19.799999999999994,,,24990.0,49.796440000000025,2501.0,2,False,False,3
2019-09-10,163.50319999999996,18.400000000000027,,,24990.0,49.796440000000054,2501.0,3,False,False,3
2019-09-11,74.88799999999999,18.400000000000027,,,24990.0,49.796440000000054,2501.0,4,False,False,3
2019-09-12,117.5764,18.20000000000003,,,24990.0,49.79644000000006,2501.0,5,False,False,3
2019-09-13,115.33039999999998,18.59999999999996,,,24990.0,49.79644000000006,2501.0,6,False,False,3
2019-09-14,76.4532,16.799999999999972,,,24990.0,49.796440000000054,2501.0,7,False,False,3
2019-09-16,192.77939999999998,15.100000000000012,,,24990.0,49.79644000000003,2501.0,2,False,False,3
2019-09-17,109.9804,14.599999999999993,,,24990.0,49.796440000000054,2501.0,3,False,False,3
2019-09-18,97.0784,12.400000000000006,,,24990.0,49.79644000000006,2501.0,4,False,False,3
2019-09-19,63.62939999999999,8.200000000000003,,,24990.0,49.796440000000054,2501.0,5,False,False,3
2019-09-20,132.03179999999998,7.200000000000006,,,24990.0,49.796440000000054,2501.0,6,False,False,3
2019-09-21,44.230799999999995,7.6000000000000085,,,24990.0,49.79644000000005,2501.0,7,False,False,3
2019-09-23,111.65360000000001,14.2,,,24990.0,49.79644000000003,2501.0,2,False,False,3
2019-09-24,92.94099999999999,16.599999999999994,,,24990.0,49.796440000000054,2501.0,3,False,False,3
2019-09-25,72.47619999999998,13.399999999999984,,,24990.0,49.796440000000054,2501.0,4,False,False,3
2019-09-26,54.001799999999996,14.299999999999983,,,24990.0,49.79644000000005,2501.0,5,False,False,3
2019-09-27,69.69979999999998,14.5,,,24990.0,49.796440000000054,2501.0,6,False,False,3
2019-09-28,78.45959999999992,14.600000000000014,,,24990.0,49.79644000000004,2501.0,7,False,False,3
2019-09-30,147.70380000000003,15.799999999999976,,,24990.0,49.796440000000054,2501.0,2,False,False,3
2019-10-01,12.389399999999998,13.199999999999996,,,16290.0,49.79644,2530.0,3,False,False,4
2019-10-02,62.86859999999998,15.59999999999999,,,16290.0,49.796440000000054,2530.0,4,False,False,4
2019-10-03,50.25299999999999,13.799999999999981,,,16290.0,49.796440000000054,2530.0,5,False,False,4
2019-10-04,65.1088,8.29999999999999,,,16290.0,49.796440000000054,2530.0,6,False,False,4
2019-10-05,80.16839999999999,8.5,,,16290.0,49.79644000000005,2530.0,7,False,False,4
2019-10-07,137.5675999999999,5.800000000000001,,,16290.0,49.79644000000001,2530.0,2,False,False,4
2019-10-08,60.75640000000003,3.9000000000000026,,,16290.0,49.79644000000005,2530.0,3,False,False,4
2019-10-09,99.27900000000001,8.699999999999992,,,16290.0,49.79644000000005,2530.0,4,False,False,4
2019-10-10,67.20380000000002,10.70000000000001,,,16290.0,49.79644000000005,2530.0,5,False,False,4
2019-10-11,74.23459999999997,9.799999999999986,,,16290.0,49.796440000000054,2530.0,6,False,False,4
2019-10-12,39.64920000000002,9.199999999999994,,,16290.0,49.79644000000005,2530.0,7,False,False,4
2019-10-14,51.366600000000005,12.60000000000001,,,16290.0,49.79644000000003,2530.0,2,False,False,4
2019-10-15,116.63899999999995,13.100000000000009,,,16290.0,49.796440000000054,2530.0,3,False,False,4
2019-10-16,53.3746,13.399999999999995,,,16290.0,49.796440000000054,2530.0,4,False,False,4
2019-10-17,65.62139999999997,12.700000000000019,,,16290.0,49.796440000000054,2530.0,5,False,False,4
2019-10-18,70.7362,13.399999999999995,,,16290.0,49.796440000000054,2530.0,6,False,False,4
2019-10-19,68.09740000000002,13.700000000000014,,,16290.0,49.79644000000005,2530.0,7,False,False,4
2019-10-21,101.30019999999996,14.199999999999998,,,16290.0,49.79644000000003,2530.0,2,False,False,4
2019-10-22,168.93160000000006,13.799999999999978,,,16290.0,49.796440000000054,2530.0,3,False,False,4
2019-10-23,104.26940000000005,13.299999999999976,,,16290.0,49.796440000000054,2530.0,4,False,False,4
2019-10-24,89.47699999999996,13.39999999999999,,,16290.0,49.796440000000054,2530.0,5,False,False,4
2019-10-25,72.7082,11.899999999999984,,,16290.0,49.796440000000054,2530.0,6,False,False,4
2019-10-26,69.1764,10.899999999999986,,,16290.0,49.796440000000054,2530.0,7,False,False,4
2019-10-28,99.903,10.100000000000007,,,16290.0,49.79644000000003,2530.0,2,False,False,4
2019-10-29,139.17919999999998,9.899999999999984,,,16290.0,49.796440000000054,2530.0,3,False,False,4
2019-10-30,130.89299999999997,7.3999999999999915,,,16290.0,49.79644000000005,2530.0,4,False,False,4
2019-10-31,87.33619999999992,5.3999999999999915,,,16290.0,49.796440000000054,2530.0,5,False,False,4
2019-11-01,58.37979999999999,3.4000000000000035,,,12975.0,49.79644000000005,2619.0,6,False,False,4
2019-11-02,60.6388,3.5,,,12975.0,49.79644000000005,2619.0,7,False,False,4
2019-11-04,81.94759999999998,15.299999999999994,,,12975.0,49.79644000000003,2619.0,2,False,False,4
2019-11-05,110.18639999999999,13.200000000000014,,,12975.0,49.79644000000005,2619.0,3,False,False,4
2019-11-06,42.594599999999986,13.100000000000014,,,12975.0,49.79644000000005,2619.0,4,False,False,4
2019-11-07,53.636399999999995,10.5,,,12975.0,49.79644000000004,2619.0,5,False,False,4
2019-11-08,85.20939999999997,11.700000000000019,,,12975.0,49.796440000000054,2619.0,6,False,False,4
2019-11-09,38.587999999999994,12.299999999999997,,,12975.0,49.79644000000004,2619.0,7,False,False,4
2019-11-11,148.0948,8.800000000000006,,,12975.0,49.79644000000003,2619.0,2,False,False,4
