Date,EUR,USD
2018-06-07,4.6564000000,3.9379000000
2018-06-08,4.6582000000,3.9589000000
2018-06-09,4.6582000000,3.9589000000
2018-06-10,4.6582000000,3.9589000000
2018-06-11,4.6586000000,3.9518000000
2018-06-12,4.6587000000,3.9497000000
2018-06-13,4.6647000000,3.9701000000
2018-06-14,4.6656000000,3.9462000000
2018-06-15,4.6618000000,4.0162000000
2018-06-16,4.6618000000,4.0162000000
2018-06-17,4.6618000000,4.0162000000
2018-06-18,4.6662000000,4.0240000000
2018-06-19,4.6663000000,4.0420000000
2018-06-20,4.6660000000,4.0348000000
2018-06-21,4.6695000000,4.0518000000
2018-06-22,4.6686000000,4.0026000000
2018-06-23,4.6686000000,4.0026000000
2018-06-24,4.6686000000,4.0026000000
2018-06-25,4.6665000000,4.0058000000
2018-06-26,4.6620000000,3.9981000000
2018-06-27,4.6537000000,3.9999000000
2018-06-28,4.6569000000,4.0267000000
2018-06-29,4.6611000000,4.0033000000
2018-06-30,4.6611000000,4.0033000000
2018-07-01,4.6611000000,4.0033000000
2018-07-02,4.6610000000,4.0043000000
2018-07-03,4.6554000000,3.9909000000
2018-07-04,4.6617000000,4.0071000000
2018-07-05,4.6619000000,3.9898000000
2018-07-06,4.6616000000,3.9821000000
2018-07-07,4.6616000000,3.9821000000
2018-07-08,4.6616000000,3.9821000000
2018-07-09,4.6590000000,3.9604000000
2018-07-10,4.6587000000,3.9738000000
2018-07-11,4.6607000000,3.9804000000
2018-07-12,4.6596000000,3.9902000000
2018-07-13,4.6589000000,4.0064000000
2018-07-14,4.6589000000,4.0064000000
2018-07-15,4.6589000000,4.0064000000
2018-07-16,4.6550000000,3.9774000000
2018-07-17,4.6572000000,3.9685000000
2018-07-18,4.6541000000,4.0032000000
2018-07-19,4.6549000000,4.0128000000
2018-07-20,4.6562000000,3.9954000000
2018-07-21,4.6562000000,3.9954000000
2018-07-22,4.6562000000,3.9954000000
2018-07-23,4.6512000000,3.9767000000
2018-07-24,4.6367000000,3.9677000000
2018-07-25,4.6282000000,3.9551000000
2018-07-26,4.6273000000,3.9502000000
2018-07-27,4.6315000000,3.9844000000
2018-07-28,4.6315000000,3.9844000000
2018-07-29,4.6315000000,3.9844000000
2018-07-30,4.6248000000,3.9572000000
2018-07-31,4.6283000000,3.9487000000
2018-08-01,4.6255000000,3.9610000000
2018-08-02,4.6217000000,3.9799000000
2018-08-03,4.6206000000,3.9908000000
2018-08-04,4.6206000000,3.9908000000
2018-08-05,4.6206000000,3.9908000000
2018-08-06,4.6250000000,4.0000000000
2018-08-07,4.6428000000,4.0055000000
2018-08-08,4.6426000000,4.0024000000
2018-08-09,4.6427000000,4.0039000000
2018-08-10,4.6567000000,4.0594000000
2018-08-11,4.6567000000,4.0594000000
2018-08-12,4.6567000000,4.0594000000
2018-08-13,4.6607000000,4.0937000000
2018-08-14,4.6590000000,4.0854000000
2018-08-15,4.6590000000,4.0854000000
2018-08-16,4.6586000000,4.0976000000
2018-08-17,4.6569000000,4.0889000000
2018-08-18,4.6569000000,4.0889000000
2018-08-19,4.6569000000,4.0889000000
2018-08-20,4.6483000000,4.0737000000
2018-08-21,4.6434000000,4.0320000000
2018-08-22,4.6445000000,4.0077000000
2018-08-23,4.6490000000,4.0228000000
2018-08-24,4.6377000000,4.0089000000
2018-08-25,4.6377000000,4.0089000000
2018-08-26,4.6377000000,4.0089000000
2018-08-27,4.6416000000,3.9959000000
2018-08-28,4.6474000000,3.9723000000
2018-08-29,4.6489000000,3.9852000000
2018-08-30,4.6430000000,3.9704000000
2018-08-31,4.6440000000,3.9789000000
2018-09-01,4.6440000000,3.9789000000
2018-09-02,4.6440000000,3.9789000000
2018-09-03,4.6375000000,3.9970000000
2018-09-04,4.6321000000,4.0051000000
2018-09-05,4.6369000000,4.0046000000
2018-09-06,4.6383000000,3.9903000000
2018-09-07,4.6410000000,3.9875000000
2018-09-08,4.6410000000,3.9875000000
2018-09-09,4.6410000000,3.9875000000
2018-09-10,4.6332000000,4.0019000000
2018-09-11,4.6325000000,3.9946000000
2018-09-12,4.6393000000,4.0011000000
2018-09-13,4.6391000000,3.9930000000
2018-09-14,4.6430000000,3.9669000000
2018-09-15,4.6430000000,3.9669000000
2018-09-16,4.6430000000,3.9669000000
2018-09-17,4.6435000000,3.9865000000
2018-09-18,4.6478000000,3.9793000000
2018-09-19,4.6524000000,3.9764000000
2018-09-20,4.6519000000,3.9743000000
2018-09-21,4.6559000000,3.9517000000
2018-09-22,4.6559000000,3.9517000000
2018-09-23,4.6559000000,3.9517000000
2018-09-24,4.6578000000,3.9575000000
2018-09-25,4.6603000000,3.9613000000
2018-09-26,4.6605000000,3.9612000000
2018-09-27,4.6647000000,3.9840000000
2018-09-28,4.6637000000,4.0210000000
2018-09-29,4.6637000000,4.0210000000
2018-09-30,4.6637000000,4.0210000000
2018-10-01,4.6596000000,4.0110000000
2018-10-02,4.6658000000,4.0507000000
2018-10-03,4.6643000000,4.0326000000
2018-10-04,4.6684000000,4.0591000000
2018-10-05,4.6685000000,4.0631000000
2018-10-06,4.6685000000,4.0631000000
2018-10-07,4.6685000000,4.0631000000
2018-10-08,4.6671000000,4.0651000000
2018-10-09,4.6668000000,4.0705000000
2018-10-10,4.6628000000,4.0590000000
2018-10-11,4.6674000000,4.0391000000
2018-10-12,4.6590000000,4.0221000000
2018-10-13,4.6590000000,4.0221000000
2018-10-14,4.6590000000,4.0221000000
2018-10-15,4.6663000000,4.0270000000
2018-10-16,4.6677000000,4.0341000000
2018-10-17,4.6667000000,4.0359000000
2018-10-18,4.6658000000,4.0493000000
2018-10-19,4.6669000000,4.0761000000
2018-10-20,4.6669000000,4.0761000000
2018-10-21,4.6669000000,4.0761000000
2018-10-22,4.6671000000,4.0557000000
2018-10-23,4.6670000000,4.0662000000
2018-10-24,4.6590000000,4.0802000000
2018-10-25,4.6622000000,4.0857000000
2018-10-26,4.6630000000,4.1067000000
2018-10-27,4.6630000000,4.1067000000
2018-10-28,4.6630000000,4.1067000000
